iter	Logloss
0	0.6919775687
1	0.6909154433
2	0.6899043939
3	0.6889788676
4	0.6881531085
5	0.6874596104
6	0.6869396405
7	0.6863106265
8	0.6856736736
9	0.6851490426
10	0.6846924079
11	0.6844424495
12	0.6840196086
13	0.6836607965
14	0.6833283641
15	0.6829575586
16	0.6826409086
17	0.6823313694
18	0.6821467788
19	0.6818812127
20	0.6817313491
21	0.6815049447
22	0.6812970554
23	0.6811088555
24	0.6809387362
25	0.6808638981
26	0.6807173944
27	0.680563232
28	0.6803923072
29	0.680318257
30	0.6802408376
31	0.6801591032
32	0.6801060346
33	0.6799890096
34	0.6798973306
35	0.6797911521
36	0.679665305
37	0.6796509824
38	0.6795417714
39	0.679454497
40	0.6794424344
41	0.6793553225
42	0.6793401673
43	0.6792791598
44	0.6791864195
45	0.6790864714
46	0.6789779296
47	0.6788919699
48	0.6788580894
49	0.6788214667
50	0.6787667038
51	0.6787196604
52	0.6786710669
53	0.6785960717
54	0.6784516966
55	0.678426573
56	0.6783757042
57	0.6782860962
58	0.6782660106
59	0.6782438954
60	0.6781769961
61	0.6781357917
62	0.6780675385
63	0.6780049558
64	0.6779259892
65	0.6779072623
66	0.6778467849
67	0.677822441
68	0.6777920562
69	0.6777839817
70	0.6777224274
71	0.6777174559
72	0.6777152349
73	0.677651768
74	0.6776511074
75	0.6775840391
76	0.6775447585
77	0.677424912
78	0.6773714372
79	0.6773616566
80	0.6773105489
81	0.677308603
82	0.6772665101
83	0.6772305175
84	0.6772281242
85	0.6771577636
86	0.6771412088
87	0.6771320595
88	0.6770879
89	0.6770554105
90	0.6769854721
91	0.6769286513
92	0.6768828198
93	0.6768634112
94	0.6768611751
95	0.6768055304
96	0.6767768715
97	0.6767312131
98	0.67672865
99	0.67671456
100	0.6766803436
101	0.6766298371
102	0.6766087241
103	0.6765601259
104	0.6765112474
105	0.6764919407
106	0.6764665957
107	0.6764080787
108	0.6763689676
109	0.6763431708
110	0.6763001573
111	0.6762676985
112	0.6762649714
113	0.6762428956
114	0.6762401993
115	0.6762150626
116	0.6761577271
117	0.6761577271
118	0.6761032908
119	0.6760871658
120	0.6760682018
121	0.6760625917
122	0.6760605101
123	0.6760286071
124	0.6759918453
125	0.6759114876
126	0.675898773
127	0.6758974421
128	0.6758780792
129	0.6758281562
130	0.6758173469
131	0.6757826757
132	0.6757618976
133	0.6757575071
134	0.6757213364
135	0.6756612081
136	0.6756388598
137	0.6756055338
138	0.6755788382
139	0.6755474443
140	0.6755191021
141	0.6754989439
142	0.6754599329
143	0.6754143327
144	0.6754120549
145	0.6754037529
146	0.6754033226
147	0.6754008746
148	0.6753958551
149	0.6753950672
150	0.6753913273
151	0.6753913176
152	0.6753913176
153	0.6753727351
154	0.6753562572
155	0.6753128599
156	0.6752702413
157	0.6752383155
158	0.6752382328
159	0.6752300585
160	0.6751997043
161	0.6751986303
162	0.6751887139
163	0.6751788933
164	0.675155402
165	0.675120265
166	0.6751147353
167	0.675114006
168	0.6751012661
169	0.6750897809
170	0.675089387
171	0.6750569509
172	0.6750498185
173	0.6750430038
174	0.6750379285
175	0.6750085526
176	0.6750009658
177	0.6749973254
178	0.6749931963
179	0.6749931963
180	0.6749923872
181	0.6749665845
182	0.6749440924
183	0.6749272387
184	0.6749080939
185	0.6748826646
186	0.6748826646
187	0.6748826645
188	0.6748826645
189	0.674874916
190	0.6748390034
191	0.6748380725
192	0.6748016654
193	0.6748014403
194	0.6747595152
195	0.6747398192
196	0.6747385872
197	0.6746867475
198	0.6746533759
199	0.6746358724
200	0.6746180963
201	0.6746167242
202	0.6746167065
203	0.6746114211
204	0.6746104044
205	0.674590007
206	0.6745655364
207	0.6745467876
208	0.6745449069
209	0.6745449069
210	0.6745449069
211	0.6745265932
212	0.6745184046
213	0.6744951959
214	0.6744951959
215	0.6744729167
216	0.6744597265
217	0.6744522165
218	0.6744522129
219	0.6744410664
220	0.6744213974
221	0.6744165239
222	0.6744091974
223	0.6743928269
224	0.6743881221
225	0.6743569923
226	0.6743427509
227	0.6743149775
228	0.674300773
229	0.6742883864
230	0.674251009
231	0.6742286601
232	0.6742240869
233	0.6741757134
234	0.6741525367
235	0.6741487157
236	0.6741197423
237	0.6741072085
238	0.6740867798
239	0.6740835752
240	0.674050427
241	0.6740351962
242	0.6740015957
243	0.6739838066
244	0.6739596711
245	0.6739253311
246	0.6738982836
247	0.6738752715
248	0.673860525
249	0.6738268958
250	0.6737745857
251	0.67374261
252	0.6737094912
253	0.6736964931
254	0.673657864
255	0.6736378778
256	0.6736273601
257	0.6736144605
258	0.6736002875
259	0.6735701598
260	0.6735274678
261	0.6734872122
262	0.6734525678
263	0.6734439461
264	0.673412007
265	0.6733719907
266	0.6733444014
267	0.6732879749
268	0.6732716241
269	0.6732099564
270	0.6731742783
271	0.6731447155
272	0.6731181355
273	0.6730825966
274	0.6730286698
275	0.672970001
276	0.6729349896
277	0.6729084384
278	0.6728903531
279	0.6728794942
280	0.6728388918
281	0.6728102483
282	0.6727600169
283	0.6727373982
